00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,01,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,01,00
00,01,14,13,04,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,01,00
00,01,13,14,13,14,13,14,13,14,13,14,13,14,13,04,13,14,13,14,13,14,13,14,04,14,13,14,13,14,13,06,11,07,13,14,13,14,01,00
00,01,14,13,14,13,14,06,11,07,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,10,01,09,14,13,14,13,01,00
00,01,13,14,13,14,13,10,01,09,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,03,12,08,13,14,13,14,01,00
00,01,14,13,14,13,14,03,12,08,14,13,01,01,01,13,14,13,14,13,14,06,11,07,14,13,14,13,14,13,14,13,14,13,14,13,14,13,01,00
00,01,13,14,13,14,13,14,13,14,13,01,01,00,01,01,01,14,13,14,13,10,01,09,13,14,13,14,13,14,13,14,13,14,13,14,13,14,01,00
00,01,14,13,14,13,14,13,14,13,01,01,00,00,00,00,01,01,14,13,14,03,12,08,14,13,14,13,14,13,14,13,14,13,14,13,14,13,01,00
00,01,13,14,13,14,13,14,13,14,01,00,00,00,00,00,00,01,01,14,13,14,13,14,13,14,13,14,13,14,13,14,01,01,01,01,13,14,01,00
00,01,14,04,14,13,04,13,14,13,01,01,00,00,00,00,00,00,01,13,14,13,14,13,14,13,14,04,14,13,14,01,01,00,00,01,01,13,01,00
00,01,13,14,13,14,13,14,13,14,01,01,00,00,00,01,01,01,01,01,13,14,13,14,13,14,13,14,13,01,01,01,00,00,00,00,01,14,01,00
00,01,14,13,14,13,14,13,14,01,01,00,00,01,01,01,14,13,14,13,14,13,04,13,14,13,14,13,14,01,01,00,00,00,00,01,01,13,01,00
00,01,13,14,13,14,13,14,13,01,01,00,00,01,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,01,00,00,00,01,01,01,13,14,01,00
00,01,14,13,14,13,14,13,14,01,01,00,00,01,14,13,14,13,04,13,14,13,14,13,14,13,14,13,14,01,00,00,01,01,01,13,14,13,01,00
00,01,13,14,13,14,13,14,13,01,01,00,00,01,01,14,13,14,13,14,13,14,13,14,13,14,13,14,01,01,00,00,01,14,13,14,13,14,01,00
00,01,14,13,14,13,14,13,14,01,01,00,00,01,01,13,14,13,14,13,14,13,14,13,14,13,14,01,01,01,00,00,01,01,14,13,14,13,01,00
00,01,13,14,13,14,13,14,13,14,01,01,00,00,01,01,13,14,13,14,13,14,13,14,13,14,13,01,01,00,00,00,01,01,13,14,13,14,01,00
00,01,14,13,14,13,14,13,14,13,01,01,00,00,00,01,14,13,01,01,01,01,14,13,14,01,01,01,00,00,00,00,01,01,01,13,08,13,01,00
00,01,13,14,13,14,13,14,13,14,01,01,01,00,00,01,01,01,01,01,01,01,01,01,01,01,00,00,00,00,00,00,00,00,01,14,13,14,01,00
00,01,14,13,14,13,14,13,14,13,14,13,01,01,00,00,00,00,00,00,00,00,01,00,00,00,00,00,00,00,00,00,00,00,01,13,14,13,01,00
00,01,13,14,13,04,13,14,13,14,13,14,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,01,01,14,13,14,01,00
00,01,14,13,14,13,14,13,14,04,14,13,01,01,00,01,00,00,00,01,01,01,00,00,00,00,00,01,01,01,01,01,01,01,14,13,14,13,01,00
00,01,13,14,13,14,13,14,13,14,13,14,13,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,14,01,14,13,14,13,14,01,00
00,01,14,13,14,13,14,13,14,13,14,13,14,12,12,08,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,01,00
00,01,13,14,13,14,13,14,04,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,01,00
00,01,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,14,13,04,13,14,13,14,13,14,13,01,00
00,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00

