6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2
2,0,1,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0,6,7,1,0,1,0,2
2,1,0,1,3,8,0,1,0,1,0,1,0,1,0,1,0,1,3,8,0,1,0,1,2
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0,1,2
2,0,1,0,1,0,1,0,1,3,8,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,6,7,1,0,1,0,1,0,1,2
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,8,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,6,7,1,0,1,0,1,0,1,0,1,2
2,0,1,0,1,0,1,0,1,0,1,0,1,3,8,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,6,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2
2,0,1,0,1,3,8,0,1,0,1,0,1,0,1,0,1,0,1,0,6,7,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,8,0,1,2
2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8
